,Season,Date,Home_Team_ID,Away_Team_ID,Home_Goals,Away_Goals,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,HomeTeamRating,AwayTeamRating,HomeShortPass,AwayShortPass,HomeLongPass,AwayLongPass,HomeFreeKickAccuracy,AwayFreeKickAccuracy,HomeBallControl,AwayBallControl,HomeSprintSpeed,AwaySprintSpeed,HomeShotPower,AwayShotPower,HomeInterception,AwayInterception,HomePenalties,AwayPenalties,HomeStandingTackle,AwayStandingTackle,HomeSlindingTackle,AwaySlindingTackle,Away Support,HomeTeamWins_Home,HomeTeamWins_Away,AwayTeamWins_Home,AwayTeamWins_Away,HomeVsAway_Home,HomeVsAway_Away,,Outcome
23,2008/2009,01-11-2008 00:00,8549,8654,1,1,22978,24166,24163,24167,24161,24753,24393,33128,30892,42183,35608,36374,30687,24751,23818,26348,36394,109898,24747,30734,33781,118390,74.54545455,72.27272727,64.90909091,63.09090909,57.63636364,57.54545455,47,45.90909091,67.09090909,63.81818182,71.27272727,72.54545455,61.81818182,54.72727273,68,63.45454545,67,66.63636364,51.63636364,56.45454545,0,56,2842.9,0.5,0.5,0.5,0.5,0,0,,Tie
24,2008/2009,03-11-2008 00:00,10261,10252,2,0,24224,25518,24228,30929,37475,33852,24205,30360,34574,37799,24225,30380,30357,33863,43280,23282,38807,24780,23782,23354,26165,23264,76.45454545,79.54545455,66.45454545,68.81818182,65,67.63636364,49.27272727,53.36363636,69.63636364,69.45454545,74.27272727,77.72727273,61.54545455,63,69.81818182,73.81818182,70.27272727,74.36363636,61.27272727,59.63636364,0,0,4875,0.5,0.5,0.5,0.5,0,0,,Win
25,2008/2009,02-11-2008 00:00,8559,8456,2,0,23932,26454,23783,24336,23785,23784,23933,35532,37996,23934,24372,31432,30509,24211,23939,24208,24213,39027,40198,30367,107216,33974,74.45454545,77.72727273,66.36363636,64.36363636,61.54545455,63.36363636,42.45454545,51.09090909,65.09090909,70.90909091,72.18181818,75.18181818,59.90909091,63.09090909,73.90909091,66,67.27272727,68.09090909,64.54545455,58.09090909,63.36363636,53.18181818,2248.6,0.5,0.5,0.5,0.5,0,0,,Win
26,2008/2009,01-11-2008 00:00,8659,8655,2,2,36373,31731,42594,26527,24728,24171,24664,40055,38433,32570,27267,30622,49571,19020,23921,25667,30842,38711,30849,24136,34176,34947,70.54545455,73,63.18181818,59.09090909,56.81818182,60.27272727,49.63636364,39.63636364,63.63636364,62.63636364,68.81818182,71.81818182,60.36363636,61.09090909,63.81818182,67.18181818,68.18181818,65.18181818,54.90909091,60.18181818,53.36363636,61.72727273,2582.8,0.5,0.5,0.5,0.5,0,0,,Tie
27,2008/2009,01-11-2008 00:00,8462,8528,1,2,36286,34036,24216,34418,40987,25517,23988,24653,63520,30830,30348,34421,34987,24230,35472,111865,35327,97988,25150,24663,34466,127857,76.72727273,73.27272727,64.36363636,63.09090909,62.36363636,56.81818182,40.36363636,50.54545455,67.63636364,66.36363636,73.63636364,74.63636364,63.18181818,64.90909091,69.72727273,66.18181818,71.54545455,66.81818182,63.54545455,55.54545455,0,0,1983,0.5,0.5,0.5,0.5,0,0,,Lose
28,2008/2009,01-11-2008 00:00,10194,9825,2,1,23794,40574,40005,40695,35467,35636,23333,24133,25668,38755,23314,23686,26111,30831,30616,31291,39297,30613,23678,27277,30960,36410,69.54545455,79.90909091,59.09090909,72.90909091,53.72727273,67.90909091,44.90909091,46.72727273,58.54545455,72.54545455,68.54545455,75.18181818,56.90909091,67.72727273,67,71.45454545,64.18181818,72.54545455,59.81818182,64.45454545,0,64.45454545,2699.4,0.5,0.5,0.5,0.5,0,0,,Win
29,2008/2009,01-11-2008 00:00,8455,8472,5,0,30859,25925,26564,30627,38834,30686,32345,30631,30630,37804,30679,24527,38836,24446,24740,43259,38802,24411,24655,30352,109434,30988,84.09090909,72.54545455,74.27272727,61.18181818,71.54545455,56.90909091,58.63636364,44.36363636,76.72727273,65.45454545,76.36363636,75.36363636,71.18181818,60.18181818,79.72727273,67.18181818,75.72727273,64.63636364,62.54545455,54.54545455,58.09090909,54.45454545,4158.8,0.5,0.5,0.5,0.5,0,0,,Win
30,2008/2009,08-11-2008 00:00,9825,10260,2,1,23686,26111,38835,30616,31291,31013,30613,39297,26181,27277,36410,30726,30615,30620,30865,32569,30893,40961,34944,30802,30829,27430,80.09090909,84.36363636,72.90909091,76.36363636,70.09090909,73.90909091,47.54545455,57.18181818,73.72727273,77.18181818,77.45454545,77.72727273,64.27272727,70.72727273,70,78,71.90909091,78.54545455,61.54545455,62.54545455,64.36363636,57.81818182,6004,0.5,0.6,0.5,0.5,0,0,,Win
31,2008/2009,08-11-2008 00:00,8650,8659,3,0,30660,37442,30617,25984,34222,24800,38818,30618,37920,37139,24635,36373,31731,42594,26527,24728,40055,38433,24664,31088,32570,27267,81.54545455,70.72727273,73.27272727,63.54545455,72.09090909,57,57.54545455,51.81818182,73.72727273,63.72727273,76.45454545,67.36363636,69.27272727,61.54545455,78.90909091,65,77.90909091,69.36363636,61.81818182,55.63636364,57.90909091,53.81818182,4361.1,0.5,0.6,0.6,0.5,0,0,,Win
32,2008/2009,08-11-2008 00:00,8472,8462,1,2,24527,36786,24740,24446,24408,38802,24411,17866,30352,33418,24410,36286,34036,24216,34418,24630,38820,24653,23988,40987,30830,30348,72.72727273,77.54545455,60.36363636,66,58.63636364,62.27272727,51,42.81818182,64.27272727,69.45454545,71.90909091,72.90909091,64.54545455,64,65.90909091,69.63636364,64.45454545,73.72727273,53.81818182,60.54545455,52.45454545,0,4016.8,0.5,0.6,0.6,0.5,0,0,,Lose
